order_id,shipment_id,origin_city,destination_city,carrier_name,shipment_mode,planned_ship_date,actual_ship_date,planned_delivery_date,actual_delivery_date,shipment_status,transportation_cost,delivery_delay_days,shipment_duration_days
O0001,S0001,Hyderabad,Pune,Delhivery,Rail,2024-02-11,2024-02-11,2024-02-16,2024-02-16,Delivered,1275,0.0,5.0
O0002,S0002,Chennai,Pune,BlueDart,Road,2024-04-26,2024-04-27,2024-04-29,2024-04-29,Delivered,5314,0.0,2.0
O0003,S0003,Delhi,Delhi,Ecom Express,Road,2024-02-24,2024-02-24,2024-03-01,2024-03-01,Delivered,5527,0.0,6.0
O0004,S0004,Mumbai,Bangalore,XpressBees,Road,2024-03-15,2024-03-15,2024-03-17,,Cancelled,5229,,
O0005,S0005,Mumbai,Pune,Ecom Express,Rail,2024-01-16,2024-01-17,2024-01-20,2024-01-22,Delayed,6033,2.0,5.0
O0006,S0006,Hyderabad,Pune,Ecom Express,Road,2024-01-25,2024-01-25,2024-01-27,2024-01-29,Delayed,4866,2.0,4.0
O0007,S0007,Chennai,Bangalore,Delhivery,Road,2024-03-28,2024-03-29,2024-04-02,2024-04-02,Delivered,7307,0.0,4.0
O0008,S0008,Hyderabad,Chennai,Delhivery,Rail,2024-01-24,2024-01-25,2024-01-27,2024-01-27,Delivered,4476,0.0,2.0
O0009,S0009,Mumbai,Bangalore,BlueDart,Air,2024-02-06,2024-02-07,2024-02-08,2024-02-08,Delivered,4254,0.0,1.0
O0010,S0010,Bangalore,Bangalore,Delhivery,Rail,2024-01-06,2024-01-07,2024-01-08,2024-01-10,Delayed,4868,2.0,3.0
O0011,S0011,Chennai,Delhi,DHL,Road,2024-03-15,2024-03-15,2024-03-17,2024-03-17,Delivered,6789,0.0,2.0
O0012,S0012,Chennai,Delhi,Delhivery,Road,2024-03-30,2024-03-30,2024-04-05,2024-04-06,Delayed,4582,1.0,7.0
O0013,S0013,Mumbai,Bangalore,BlueDart,Rail,2024-02-15,2024-02-15,2024-02-21,2024-02-21,Delivered,2828,0.0,6.0
O0014,S0014,Chennai,Hyderabad,Delhivery,Road,2024-02-20,2024-02-20,2024-02-25,2024-02-25,Delivered,7511,0.0,5.0
O0015,S0015,Delhi,Chennai,BlueDart,Road,2024-02-25,2024-02-26,2024-02-29,2024-03-01,Delayed,1479,1.0,4.0
O0016,S0016,Hyderabad,Mumbai,Delhivery,Air,2024-01-23,2024-01-23,2024-01-26,,Cancelled,833,,
O0017,S0017,Bangalore,Mumbai,Ecom Express,Rail,2024-01-19,2024-01-19,2024-01-25,2024-01-25,Delivered,6165,0.0,6.0
O0018,S0018,Delhi,Hyderabad,XpressBees,Air,2024-03-27,2024-03-28,2024-03-29,2024-03-30,Delayed,4068,1.0,2.0
O0019,S0019,Pune,Mumbai,XpressBees,Road,2024-02-20,2024-02-20,2024-02-25,2024-02-26,Delayed,1700,1.0,6.0
O0020,S0020,Mumbai,Hyderabad,DHL,Air,2024-02-13,2024-02-14,2024-02-15,,Cancelled,5827,,
O0021,S0021,Delhi,Bangalore,Delhivery,Rail,2024-01-04,2024-01-04,2024-01-07,2024-01-09,Delayed,3783,2.0,5.0
O0022,S0022,Chennai,Chennai,XpressBees,Air,2024-03-01,2024-03-01,2024-03-03,2024-03-04,Delayed,1503,1.0,3.0
O0023,S0023,Delhi,Mumbai,Ecom Express,Road,2024-01-19,2024-01-19,2024-01-23,2024-01-23,Delivered,2481,0.0,4.0
O0024,S0024,Hyderabad,Bangalore,DHL,Rail,2024-03-08,2024-03-08,2024-03-11,2024-03-13,Delayed,7725,2.0,5.0
O0025,S0025,Mumbai,Hyderabad,Ecom Express,Rail,2024-02-03,2024-02-04,2024-02-07,2024-02-07,Delivered,3500,0.0,3.0
O0026,S0026,Chennai,Delhi,BlueDart,Road,2024-03-22,2024-03-22,2024-03-28,2024-03-28,Delivered,5040,0.0,6.0
O0027,S0027,Chennai,Bangalore,BlueDart,Rail,2024-03-04,2024-03-04,2024-03-06,2024-03-06,Delivered,5757,0.0,2.0
O0028,S0028,Pune,Mumbai,XpressBees,Road,2024-02-14,2024-02-14,2024-02-18,2024-02-18,Delivered,3566,0.0,4.0
O0029,S0029,Chennai,Delhi,Delhivery,Rail,2024-01-27,2024-01-27,2024-02-02,2024-02-04,Delayed,1494,2.0,8.0
O0030,S0030,Mumbai,Chennai,BlueDart,Air,2024-04-16,2024-04-17,2024-04-18,2024-04-19,Delayed,7264,1.0,2.0
O0031,S0031,Delhi,Pune,BlueDart,Road,2024-03-22,2024-03-22,2024-03-24,2024-03-25,Delayed,1840,1.0,3.0
O0032,S0032,Mumbai,Hyderabad,Ecom Express,Air,2024-01-04,2024-01-04,2024-01-10,2024-01-11,Delayed,6184,1.0,7.0
O0033,S0033,Pune,Pune,DHL,Rail,2024-04-29,2024-04-29,2024-05-02,2024-05-04,Delayed,6939,2.0,5.0
O0034,S0034,Mumbai,Pune,Delhivery,Road,2024-04-29,2024-04-29,2024-05-04,2024-05-04,Delivered,3199,0.0,5.0
O0035,S0035,Chennai,Mumbai,DHL,Rail,2024-03-05,2024-03-05,2024-03-11,2024-03-11,Delivered,3698,0.0,6.0
O0036,S0036,Hyderabad,Mumbai,Ecom Express,Road,2024-04-24,2024-04-24,2024-04-30,2024-05-02,Delayed,5088,2.0,8.0
