order_id|shipment_id|origin_city|destination_city|carrier_name|shipment_mode|planned_ship_date|actual_ship_date|planned_delivery_date|actual_delivery_date|shipment_status|transportation_cost
O0001|S0001|Hyderabad|Pune|Delhivery|Rail|2024-02-11|2024-02-11|2024-02-16|2024-02-16 00:00:00|Delivered|1275
O0002|S0002|Chennai|Pune|BlueDart|Road|2024-04-26|2024-04-27|2024-04-29|2024-04-29 00:00:00|Delivered|5314
O0003|S0003|Delhi|Delhi|Ecom Express|Road|2024-02-24|2024-02-24|2024-03-01|2024-03-01 00:00:00|Delivered|5527
O0004|S0004|Mumbai|Bangalore|XpressBees|Road|2024-03-15|2024-03-15|2024-03-17||Cancelled|5229
O0005|S0005|Mumbai|Pune|Ecom Express|Rail|2024-01-16|2024-01-17|2024-01-20|2024-01-22 00:00:00|Delayed|6033
O0006|S0006|Hyderabad|Pune|Ecom Express|Road|2024-01-25|2024-01-25|2024-01-27|2024-01-29 00:00:00|Delayed|4866
O0007|S0007|Chennai|Bangalore|Delhivery|Road|2024-03-28|2024-03-29|2024-04-02|2024-04-02 00:00:00|Delivered|7307
O0008|S0008|Hyderabad|Chennai|Delhivery|Rail|2024-01-24|2024-01-25|2024-01-27|2024-01-27 00:00:00|Delivered|4476
O0009|S0009|Mumbai|Bangalore|BlueDart|Air|2024-02-06|2024-02-07|2024-02-08|2024-02-08 00:00:00|Delivered|4254
O0010|S0010|Bangalore|Bangalore|Delhivery|Rail|2024-01-06|2024-01-07|2024-01-08|2024-01-10 00:00:00|Delayed|4868
O0011|S0011|Chennai|Delhi|DHL|Road|2024-03-15|2024-03-15|2024-03-17|2024-03-17 00:00:00|Delivered|6789
O0012|S0012|Chennai|Delhi|Delhivery|Road|2024-03-30|2024-03-30|2024-04-05|2024-04-06 00:00:00|Delayed|4582
O0013|S0013|Mumbai|Bangalore|BlueDart|Rail|2024-02-15|2024-02-15|2024-02-21|2024-02-21 00:00:00|Delivered|2828
O0014|S0014|Chennai|Hyderabad|Delhivery|Road|2024-02-20|2024-02-20|2024-02-25|2024-02-25 00:00:00|Delivered|7511
O0015|S0015|Delhi|Chennai|BlueDart|Road|2024-02-25|2024-02-26|2024-02-29|2024-03-01 00:00:00|Delayed|1479
O0016|S0016|Hyderabad|Mumbai|Delhivery|Air|2024-01-23|2024-01-23|2024-01-26||Cancelled|833
O0017|S0017|Bangalore|Mumbai|Ecom Express|Rail|2024-01-19|2024-01-19|2024-01-25|2024-01-25 00:00:00|Delivered|6165
O0018|S0018|Delhi|Hyderabad|XpressBees|Air|2024-03-27|2024-03-28|2024-03-29|2024-03-30 00:00:00|Delayed|4068
O0019|S0019|Pune|Mumbai|XpressBees|Road|2024-02-20|2024-02-20|2024-02-25|2024-02-26 00:00:00|Delayed|1700
O0020|S0020|Mumbai|Hyderabad|DHL|Air|2024-02-13|2024-02-14|2024-02-15||Cancelled|5827
O0021|S0021|Delhi|Bangalore|Delhivery|Rail|2024-01-04|2024-01-04|2024-01-07|2024-01-09 00:00:00|Delayed|3783
O0022|S0022|Chennai|Chennai|XpressBees|Air|2024-03-01|2024-03-01|2024-03-03|2024-03-04 00:00:00|Delayed|1503
O0023|S0023|Delhi|Mumbai|Ecom Express|Road|2024-01-19|2024-01-19|2024-01-23|2024-01-23 00:00:00|Delivered|2481
O0024|S0024|Hyderabad|Bangalore|DHL|Rail|2024-03-08|2024-03-08|2024-03-11|2024-03-13 00:00:00|Delayed|7725
O0025|S0025|Mumbai|Hyderabad|Ecom Express|Rail|2024-02-03|2024-02-04|2024-02-07|2024-02-07 00:00:00|Delivered|3500
O0026|S0026|Chennai|Delhi|BlueDart|Road|2024-03-22|2024-03-22|2024-03-28|2024-03-28 00:00:00|Delivered|5040
O0027|S0027|Chennai|Bangalore|BlueDart|Rail|2024-03-04|2024-03-04|2024-03-06|2024-03-06 00:00:00|Delivered|5757
O0028|S0028|Pune|Mumbai|XpressBees|Road|2024-02-14|2024-02-14|2024-02-18|2024-02-18 00:00:00|Delivered|3566
O0029|S0029|Chennai|Delhi|Delhivery|Rail|2024-01-27|2024-01-27|2024-02-02|2024-02-04 00:00:00|Delayed|1494
O0030|S0030|Mumbai|Chennai|BlueDart|Air|2024-04-16|2024-04-17|2024-04-18|2024-04-19 00:00:00|Delayed|7264
O0031|S0031|Delhi|Pune|BlueDart|Road|2024-03-22|2024-03-22|2024-03-24|2024-03-25 00:00:00|Delayed|1840
O0032|S0032|Mumbai|Hyderabad|Ecom Express|Air|2024-01-04|2024-01-04|2024-01-10|2024-01-11 00:00:00|Delayed|6184
O0033|S0033|Pune|Pune|DHL|Rail|2024-04-29|2024-04-29|2024-05-02|2024-05-04 00:00:00|Delayed|6939
O0034|S0034|Mumbai|Pune|Delhivery|Road|2024-04-29|2024-04-29|2024-05-04|2024-05-04 00:00:00|Delivered|3199
O0035|S0035|Chennai|Mumbai|DHL|Rail|2024-03-05|2024-03-05|2024-03-11|2024-03-11 00:00:00|Delivered|3698
O0036|S0036|Hyderabad|Mumbai|Ecom Express|Road|2024-04-24|2024-04-24|2024-04-30|2024-05-02 00:00:00|Delayed|5088
O0037|S0037|Mumbai|Mumbai|BlueDart|Air|2024-03-06|2024-03-06|2024-03-11|2024-03-11 00:00:00|Delivered|5871
O0038|S0038|Hyderabad|Hyderabad|Ecom Express|Air|2024-04-02|2024-04-02|2024-04-08|2024-04-08 00:00:00|Delivered|7224
